,Part of speech 1,Part of speech 2,Number of n-gramms,Frequency of n-gramms,Name of text
0,NOUN,NOUN,659,8.5,Bayer_De muro Caucaseo.txt
1,NOUN,VERB,555,7.1,Bayer_De muro Caucaseo.txt
2,ADP,NOUN,412,5.3,Bayer_De muro Caucaseo.txt
3,VERB,NOUN,290,3.7,Bayer_De muro Caucaseo.txt
4,ADJ,NOUN,266,3.4,Bayer_De muro Caucaseo.txt
5,VERB,VERB,251,3.2,Bayer_De muro Caucaseo.txt
6,NOUN,ADP,237,3.1,Bayer_De muro Caucaseo.txt
7,VERB,ADP,219,2.8,Bayer_De muro Caucaseo.txt
8,NOUN,CCONJ,213,2.7,Bayer_De muro Caucaseo.txt
9,NOUN,ADJ,207,2.7,Bayer_De muro Caucaseo.txt
10,CCONJ,NOUN,194,2.5,Bayer_De muro Caucaseo.txt
11,PRON,VERB,160,2.1,Bayer_De muro Caucaseo.txt
12,NOUN,PRON,160,2.1,Bayer_De muro Caucaseo.txt
13,PRON,NOUN,143,1.8,Bayer_De muro Caucaseo.txt
14,DET,NOUN,124,1.6,Bayer_De muro Caucaseo.txt
15,VERB,PRON,124,1.6,Bayer_De muro Caucaseo.txt
16,ADV,VERB,120,1.5,Bayer_De muro Caucaseo.txt
17,VERB,CCONJ,114,1.5,Bayer_De muro Caucaseo.txt
18,VERB,ADV,114,1.5,Bayer_De muro Caucaseo.txt
19,NOUN,ADV,104,1.3,Bayer_De muro Caucaseo.txt
20,ADP,PRON,97,1.2,Bayer_De muro Caucaseo.txt
21,ADP,ADJ,97,1.2,Bayer_De muro Caucaseo.txt
22,NUM,NOUN,91,1.2,Bayer_De muro Caucaseo.txt
23,ADV,NOUN,90,1.2,Bayer_De muro Caucaseo.txt
24,VERB,SCONJ,86,1.1,Bayer_De muro Caucaseo.txt
151,NOUN,NOUN,237,9.6,Bayer_De origine et priscis.txt
152,NOUN,VERB,167,6.7,Bayer_De origine et priscis.txt
153,ADP,NOUN,155,6.3,Bayer_De origine et priscis.txt
154,VERB,NOUN,92,3.7,Bayer_De origine et priscis.txt
155,NOUN,ADP,91,3.7,Bayer_De origine et priscis.txt
156,ADJ,NOUN,90,3.6,Bayer_De origine et priscis.txt
157,NOUN,ADJ,64,2.6,Bayer_De origine et priscis.txt
158,NOUN,PRON,56,2.3,Bayer_De origine et priscis.txt
159,VERB,ADP,55,2.2,Bayer_De origine et priscis.txt
160,VERB,VERB,54,2.2,Bayer_De origine et priscis.txt
161,NOUN,CCONJ,50,2.0,Bayer_De origine et priscis.txt
162,PRON,VERB,47,1.9,Bayer_De origine et priscis.txt
163,DET,NOUN,43,1.7,Bayer_De origine et priscis.txt
164,ADV,NOUN,42,1.7,Bayer_De origine et priscis.txt
165,CCONJ,NOUN,40,1.6,Bayer_De origine et priscis.txt
166,VERB,PRON,38,1.5,Bayer_De origine et priscis.txt
167,PRON,NOUN,38,1.5,Bayer_De origine et priscis.txt
168,VERB,ADV,36,1.5,Bayer_De origine et priscis.txt
169,ADP,ADJ,35,1.4,Bayer_De origine et priscis.txt
170,ADP,PRON,32,1.3,Bayer_De origine et priscis.txt
171,PRON,ADP,31,1.3,Bayer_De origine et priscis.txt
172,NOUN,ADV,31,1.3,Bayer_De origine et priscis.txt
173,NOUN,NUM,29,1.2,Bayer_De origine et priscis.txt
174,VERB,CCONJ,29,1.2,Bayer_De origine et priscis.txt
175,ADV,VERB,28,1.1,Bayer_De origine et priscis.txt
302,NOUN,NOUN,425,8.4,Bayer_De scythiae situ.txt
303,NOUN,VERB,361,7.1,Bayer_De scythiae situ.txt
304,ADP,NOUN,333,6.6,Bayer_De scythiae situ.txt
305,VERB,NOUN,210,4.1,Bayer_De scythiae situ.txt
306,NOUN,ADP,200,3.9,Bayer_De scythiae situ.txt
307,ADJ,NOUN,160,3.2,Bayer_De scythiae situ.txt
308,VERB,ADP,146,2.9,Bayer_De scythiae situ.txt
309,NOUN,CCONJ,135,2.7,Bayer_De scythiae situ.txt
310,NOUN,ADJ,126,2.5,Bayer_De scythiae situ.txt
311,NOUN,PRON,122,2.4,Bayer_De scythiae situ.txt
312,CCONJ,NOUN,116,2.3,Bayer_De scythiae situ.txt
313,VERB,VERB,115,2.3,Bayer_De scythiae situ.txt
314,PRON,NOUN,90,1.8,Bayer_De scythiae situ.txt
315,DET,NOUN,81,1.6,Bayer_De scythiae situ.txt
316,ADV,VERB,81,1.6,Bayer_De scythiae situ.txt
317,PRON,VERB,75,1.5,Bayer_De scythiae situ.txt
318,ADV,NOUN,75,1.5,Bayer_De scythiae situ.txt
319,ADP,PRON,70,1.4,Bayer_De scythiae situ.txt
320,NOUN,ADV,70,1.4,Bayer_De scythiae situ.txt
321,VERB,SCONJ,65,1.3,Bayer_De scythiae situ.txt
322,VERB,ADV,64,1.3,Bayer_De scythiae situ.txt
323,PRON,ADP,61,1.2,Bayer_De scythiae situ.txt
324,ADP,VERB,60,1.2,Bayer_De scythiae situ.txt
325,VERB,PRON,57,1.1,Bayer_De scythiae situ.txt
326,ADJ,VERB,54,1.1,Bayer_De scythiae situ.txt
457,NOUN,VERB,1114,8.0,Svetonius_Divus Augustus.txt
458,NOUN,NOUN,1018,7.3,Svetonius_Divus Augustus.txt
459,VERB,NOUN,624,4.5,Svetonius_Divus Augustus.txt
460,ADP,NOUN,624,4.5,Svetonius_Divus Augustus.txt
